go	precision	recall	fmeasure
0.0	0.04	0.09	0.08
0.02	0.20	0.19	0.19
0.04	0.23	0.21	0.22
0.06	0.25	0.24	0.25
0.08	0.27	0.26	0.27
0.1	0.28	0.27	0.28
0.12000000000000001	0.29	0.28	0.28
0.14	0.29	0.29	0.29
0.16	0.29	0.29	0.29
0.18	0.30	0.30	0.30
0.19999999999999998	0.31	0.30	0.30
0.21999999999999997	0.32	0.31	0.31
0.23999999999999996	0.32	0.31	0.31
0.25999999999999995	0.32	0.32	0.32
0.27999999999999997	0.33	0.33	0.32
0.3	0.33	0.33	0.33
0.32	0.33	0.33	0.33
0.34	0.34	0.33	0.33
0.36000000000000004	0.34	0.33	0.33
0.38000000000000006	0.34	0.34	0.33
1.0	0.40	0.39	0.39
6.0	0.41	0.41	0.40
11.0	0.42	0.41	0.41
16.0	0.42	0.42	0.42
21.0	0.43	0.42	0.42
26.0	0.43	0.42	0.42
