go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	1.00	1.00	1.00
0.1	1.00	1.00	1.00
0.12000000000000001	1.00	1.00	1.00
0.14	0.99	0.99	0.99
0.16	0.99	0.98	0.98
0.18	0.97	0.96	0.96
0.19999999999999998	0.95	0.94	0.94
0.21999999999999997	0.95	0.91	0.92
0.23999999999999996	0.93	0.88	0.89
0.25999999999999995	0.91	0.86	0.87
0.27999999999999997	0.90	0.84	0.85
0.3	0.88	0.81	0.83
0.32	0.86	0.77	0.81
0.34	0.85	0.75	0.80
0.36000000000000004	0.82	0.72	0.77
0.38000000000000006	0.80	0.70	0.74
