go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.77	0.70	0.71
0.4	0.39	0.33	0.42
0.6000000000000001	0.38	0.37	0.49
0.8	0.48	0.33	0.38
1.0	0.14	0.30	0.48
1.0	0.14	0.30	0.48
6.0	0.13	0.30	0.43
11.0	0.13	0.30	0.42
16.0	0.14	0.30	0.39
21.0	0.26	0.30	0.37
26.0	0.26	0.30	0.37
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	0.97	0.97	0.97
0.08	0.94	0.93	0.93
0.1	0.92	0.90	0.90
0.12000000000000001	0.92	0.90	0.90
0.14	0.87	0.83	0.84
0.16	0.85	0.80	0.81
0.18	0.84	0.77	0.77
0.19999999999999998	0.77	0.70	0.71
0.21999999999999997	0.69	0.60	0.58
0.23999999999999996	0.64	0.57	0.55
0.25999999999999995	0.61	0.53	0.53
0.27999999999999997	0.65	0.57	0.56
0.3	0.63	0.53	0.53
0.32	0.61	0.43	0.44
0.34	0.31	0.27	0.37
0.36000000000000004	0.30	0.27	0.36
0.38000000000000006	0.36	0.30	0.38
