gr	precision	recall	fmeasure
0.0	1.00	1.00	1.00
0.2	0.81	0.80	0.80
0.4	0.70	0.65	0.63
0.6000000000000001	0.70	0.65	0.63
0.8	0.57	0.55	0.52
1.0	0.57	0.55	0.52
6.0	0.57	0.55	0.52
11.0	0.57	0.55	0.52
16.0	0.57	0.55	0.52
21.0	0.57	0.55	0.52
26.0	0.57	0.55	0.52
gr	precision	recall	fmeasure
0.0	1.00	1.00	1.00
0.02	1.00	1.00	1.00
0.04	0.95	0.95	0.95
0.06	0.75	0.75	0.75
0.08	0.80	0.80	0.80
0.1	0.80	0.80	0.80
0.12000000000000001	0.85	0.85	0.85
0.14	0.81	0.80	0.80
0.16	0.81	0.80	0.80
0.18	0.81	0.80	0.80
0.19999999999999998	0.81	0.80	0.80
0.21999999999999997	0.81	0.80	0.80
0.23999999999999996	0.81	0.80	0.80
0.25999999999999995	0.81	0.80	0.80
0.27999999999999997	0.81	0.80	0.80
0.3	0.81	0.80	0.80
0.32	0.81	0.80	0.80
0.34	0.77	0.75	0.74
0.36000000000000004	0.77	0.75	0.74
0.38000000000000006	0.74	0.70	0.69
gr	precision	recall	fmeasure
0.0	1.00	1.00	1.00
0.02	1.00	1.00	1.00
0.04	0.95	0.95	0.95
0.06	0.75	0.75	0.75
0.08	0.80	0.80	0.80
0.1	0.80	0.80	0.80
0.12000000000000001	0.85	0.85	0.85
0.14	0.81	0.80	0.80
0.16	0.81	0.80	0.80
0.18	0.81	0.80	0.80
0.19999999999999998	0.81	0.80	0.80
0.21999999999999997	0.81	0.80	0.80
0.23999999999999996	0.81	0.80	0.80
0.25999999999999995	0.81	0.80	0.80
0.27999999999999997	0.81	0.80	0.80
0.3	0.81	0.80	0.80
0.32	0.81	0.80	0.80
0.34	0.77	0.75	0.74
0.36000000000000004	0.77	0.75	0.74
0.38000000000000006	0.74	0.70	0.69
