数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-40	1.00	0.53	0.37	1.00	1.00	
Beef-100	0.83	0.44	0.33	0.55	0.55	
Beef-80	0.79	0.54	0.33	0.93	0.93	
Beef-20	0.97	0.44	0.44	1.00	1.00	
Beef-60	0.97	0.53	0.33	1.00	1.00	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-140	0.77	0.57	0.33	0.77	0.77	
Beef-40	1.00	0.53	0.37	1.00	1.00	
Beef-100	0.83	0.44	0.33	0.55	0.55	
Beef-120	0.68	0.42	0.33	0.75	0.71	
Beef-80	0.79	0.54	0.33	0.93	0.93	
Beef-20	0.97	0.44	0.44	1.00	1.00	
Beef-60	0.97	0.53	0.33	1.00	1.00	
Beef-160	0.33	0.29	0.33	0.33	0.33	
