数据集	DTW	EDR	LCS	ERP	NewGotoh
BirdChicken-60	1.00	1.00	0.44	1.00	1.00	
BirdChicken-100	0.80	0.70	0.67	0.90	0.90	
BirdChicken-80	0.90	0.95	0.67	0.85	0.90	
BirdChicken-20	1.00	1.00	0.52	1.00	1.00	
BirdChicken-40	1.00	0.95	0.52	1.00	1.00	
数据集	DTW	EDR	LCS	ERP	NewGotoh
BirdChicken-60	1.00	1.00	0.44	1.00	1.00	
BirdChicken-140	0.64	0.64	0.67	0.85	0.85	
BirdChicken-100	0.80	0.70	0.67	0.90	0.90	
BirdChicken-80	0.90	0.95	0.67	0.85	0.90	
BirdChicken-20	1.00	1.00	0.52	1.00	1.00	
BirdChicken-120	0.40	0.40	0.67	0.56	0.60	
BirdChicken-160	0.49	0.40	0.67	0.40	0.44	
BirdChicken-40	1.00	0.95	0.52	1.00	1.00	
