数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-40	1.00	0.25	0.27	1.00	1.00	
Beef-100	0.84	0.34	0.20	0.42	0.42	
Beef-80	0.83	0.47	0.20	0.95	0.95	
Beef-20	0.97	0.55	0.32	1.00	1.00	
Beef-60	0.97	0.56	0.20	1.00	1.00	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-20	0.97	0.55	0.32	1.00	1.00
Beef-40	1.00	0.25	0.27	1.00	1.00		
Beef-60	0.97	0.56	0.20	1.00	1.00
Beef-80	0.83	0.47	0.20	0.95	0.95	
Beef-100	0.84	0.34	0.20	0.42	0.42	
Beef-120	0.75	0.39	0.20	0.89	0.84
Beef-140	0.61	0.44	0.20	0.83	0.83		
Beef-160	0.20	0.10	0.20	0.20	0.20	
