数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-40	1.00	0.40	0.30	1.00	1.00	
Beef-100	0.83	0.37	0.20	0.47	0.47	
Beef-80	0.80	0.50	0.20	0.93	0.93	
Beef-20	0.97	0.43	0.33	1.00	1.00	
Beef-60	0.97	0.47	0.20	1.00	1.00	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-140	0.63	0.50	0.20	0.77	0.77	
Beef-40	1.00	0.40	0.30	1.00	1.00	
Beef-100	0.83	0.37	0.20	0.47	0.47	
Beef-120	0.53	0.40	0.20	0.73	0.70	
Beef-80	0.80	0.50	0.20	0.93	0.93	
Beef-20	0.97	0.43	0.33	1.00	1.00	
Beef-60	0.97	0.47	0.20	1.00	1.00	
Beef-160	0.20	0.17	0.20	0.20	0.20	
