数据集	DTW	EDR	LCS	ERP	NewGotoh
BirdChicken-60	1.00	1.00	0.55	1.00	1.00	
BirdChicken-100	0.80	0.70	0.50	0.90	0.90	
BirdChicken-80	0.90	0.95	0.50	0.85	0.90	
BirdChicken-20	1.00	1.00	0.60	1.00	1.00	
BirdChicken-40	1.00	0.95	0.60	1.00	1.00	
数据集	DTW	EDR	LCS	ERP	NewGotoh
BirdChicken-60	1.00	1.00	0.55	1.00	1.00	
BirdChicken-140	0.65	0.65	0.50	0.85	0.85	
BirdChicken-100	0.80	0.70	0.50	0.90	0.90	
BirdChicken-80	0.90	0.95	0.50	0.85	0.90	
BirdChicken-20	1.00	1.00	0.60	1.00	1.00	
BirdChicken-120	0.50	0.50	0.50	0.60	0.65	
BirdChicken-160	0.55	0.50	0.50	0.50	0.55	
BirdChicken-40	1.00	0.95	0.60	1.00	1.00	
