数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-0.4	0.99	0.82	0.10	0.53	0.54	
50words-0.5	0.94	0.78	0.12	0.28	0.28	
50words-0.2	1.00	0.82	0.10	0.91	0.90	
50words-0.1	1.00	0.81	0.13	0.99	0.99	
50words-0.30000000000000004	0.99	0.80	0.11	0.71	0.72	
数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-0.4	0.99	0.82	0.10	0.53	0.54	
50words-0.5	0.94	0.78	0.12	0.28	0.28	
50words-0.2	1.00	0.82	0.10	0.91	0.90	
50words-0.8999999999999999	0.49	0.39	0.04	0.09	0.12	
50words-0.7	0.88	0.78	0.04	0.12	0.12	
50words-0.7999999999999999	0.67	0.70	0.04	0.07	0.10	
50words-0.1	1.00	0.81	0.13	0.99	0.99	
50words-0.6	0.92	0.78	0.13	0.21	0.21	
50words-0.30000000000000004	0.99	0.80	0.11	0.71	0.72	
