数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.30000000000000004	0.67	0.50	0.33	0.45	0.45	
Beef-0.1	0.71	0.51	0.38	0.44	0.46	
Beef-0.4	0.56	0.42	0.33	0.24	0.37	
Beef-0.2	0.66	0.50	0.33	0.45	0.48	
Beef-0.5	0.63	0.48	0.33	0.34	0.34	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.30000000000000004	1.00	0.42	0.33	0.49	0.49	
Beef-0.1	1.00	0.42	0.37	0.79	0.79	
Beef-0.4	1.00	0.49	0.33	0.24	0.24	
Beef-0.2	1.00	0.42	0.33	0.49	0.49	
Beef-0.5	1.00	0.45	0.33	0.33	0.33	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.7	0.93	0.34	0.33	0.33	0.33	
Beef-0.30000000000000004	1.00	0.42	0.33	0.49	0.49	
Beef-0.6	0.97	0.40	0.33	0.33	0.33	
Beef-0.1	1.00	0.42	0.37	0.79	0.79	
Beef-0.7999999999999999	0.70	0.33	0.33	0.33	0.33	
Beef-0.8999999999999999	0.66	0.46	0.33	0.33	0.33	
Beef-0.4	1.00	0.49	0.33	0.24	0.24	
Beef-0.2	1.00	0.42	0.33	0.49	0.49	
Beef-0.5	1.00	0.45	0.33	0.33	0.33	
