go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.96	0.96	0.96
0.04	0.97	0.97	0.97
0.06	0.96	0.96	0.95
0.08	0.95	0.96	0.95
0.1	0.94	0.93	0.92
0.12000000000000001	0.93	0.91	0.91
0.14	0.93	0.89	0.90
0.16	0.92	0.87	0.88
0.18	0.90	0.85	0.86
0.19999999999999998	0.89	0.83	0.84
0.21999999999999997	0.88	0.82	0.83
0.23999999999999996	0.87	0.80	0.81
0.25999999999999995	0.84	0.78	0.81
0.27999999999999997	0.84	0.77	0.80
0.3	0.84	0.76	0.79
0.32	0.82	0.74	0.77
0.34	0.81	0.73	0.76
0.36000000000000004	0.81	0.73	0.76
0.38000000000000006	0.80	0.71	0.74
