go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.68	0.57	0.58
0.4	0.40	0.30	0.29
0.6000000000000001	0.32	0.27	0.40
0.8	0.20	0.20	0.33
1.0	0.20	0.20	0.33
6.0	0.20	0.20	0.33
11.0	0.20	0.20	0.33
16.0	0.20	0.20	0.33
21.0	0.20	0.20	0.33
26.0	0.20	0.20	0.33
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	0.67	0.57	0.55
0.04	0.71	0.63	0.60
0.06	0.61	0.63	0.61
0.08	0.62	0.63	0.62
0.1	0.62	0.63	0.62
0.12000000000000001	0.71	0.70	0.70
0.14	0.68	0.67	0.67
0.16	0.64	0.63	0.63
0.18	0.63	0.60	0.61
0.19999999999999998	0.68	0.57	0.58
0.21999999999999997	0.66	0.53	0.55
0.23999999999999996	0.72	0.53	0.55
0.25999999999999995	0.72	0.53	0.55
0.27999999999999997	0.70	0.40	0.41
0.3	0.71	0.43	0.46
0.32	0.70	0.37	0.51
0.34	0.54	0.33	0.51
0.36000000000000004	0.54	0.33	0.51
0.38000000000000006	0.50	0.37	0.40
