go	precision	recall	fmeasure
0.0	0.50	0.50	0.67
0.2	0.85	0.85	0.85
0.4	0.75	0.75	0.75
0.6000000000000001	0.40	0.40	0.39
0.8	0.34	0.35	0.34
1.0	0.38	0.40	0.38
6.0	0.74	0.70	0.69
11.0	0.50	0.50	0.49
16.0	0.45	0.45	0.44
21.0	0.40	0.45	0.37
26.0	0.50	0.50	0.45
go	precision	recall	fmeasure
0.0	0.50	0.50	0.67
0.02	0.85	0.85	0.85
0.04	0.90	0.90	0.90
0.06	0.85	0.85	0.85
0.08	0.85	0.85	0.85
0.1	0.85	0.85	0.85
0.12000000000000001	0.85	0.85	0.85
0.14	0.85	0.85	0.85
0.16	0.85	0.85	0.85
0.18	0.85	0.85	0.85
0.19999999999999998	0.85	0.85	0.85
0.21999999999999997	0.85	0.85	0.85
0.23999999999999996	0.85	0.85	0.85
0.25999999999999995	0.85	0.85	0.85
0.27999999999999997	0.80	0.80	0.80
0.3	0.80	0.80	0.80
0.32	0.75	0.75	0.75
0.34	0.75	0.75	0.75
0.36000000000000004	0.75	0.75	0.75
0.38000000000000006	0.75	0.75	0.75
