数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-0.1	1.00	0.86	0.09	0.99	0.99	
50words-0.2	1.00	0.86	0.05	0.95	0.94	
50words-0.3	0.99	0.83	0.05	0.78	0.78	
50words-0.4	0.99	0.86	0.06	0.52	0.52	
50words-0.5	0.96	0.82	0.12	0.24	0.26
数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-0.1	1.00	0.86	0.09	0.99	0.99
50words-0.2	1.00	0.86	0.05	0.95	0.94
50words-0.3	0.99	0.83	0.05	0.78	0.78
50words-0.4	0.99	0.86	0.06	0.52	0.52	
50words-0.5	0.96	0.82	0.12	0.24	0.26	
50words-0.6	0.94	0.81	0.18	0.10	0.10	
50words-0.7	0.93	0.82	0.00	0.03	0.03	
50words-0.8	0.76	0.80	0.00	0.02	0.04	
50words-0.9	0.52	0.34	0.02	0.07	0.04	

	
	
	
