数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.1	0.73	0.38	0.26	0.34	0.58
Beef-0.2	0.67	0.56	0.20	0.53	0.56
Beef-0.3	0.70	0.56	0.20	0.46	0.46	
Beef-0.4	0.57	0.45	0.20	0.23	0.20	
Beef-0.5	0.72	0.63	0.20	0.08	0.08	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.3	1.00	0.46	0.20	0.42	0.42	
Beef-0.1	1.00	0.46	0.27	0.83	0.83	
Beef-0.4	1.00	0.76	0.20	0.14	0.14	
Beef-0.2	1.00	0.46	0.20	0.38	0.38	
Beef-0.5	1.00	0.49	0.20	0.20	0.20	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.1	1.00	0.46	0.27	0.83	0.83
Beef-0.2	1.00	0.46	0.20	0.38	0.38
Beef-0.3	1.00	0.46	0.20	0.42	0.42
Beef-0.4	1.00	0.76	0.20	0.14	0.14		
Beef-0.5	1.00	0.49	0.20	0.20	0.20
Beef-0.6	0.97	0.45	0.20	0.20	0.20
Beef-0.7	0.95	0.27	0.20	0.20	0.20		
Beef-0.8	0.72	0.31	0.20	0.20	0.20	
Beef-0.9	0.63	0.21	0.20	0.20	0.20	

