数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-0.4	0.99	0.80	0.03	0.34	0.34	
50words-0.5	0.94	0.78	0.03	0.12	0.13	
50words-0.2	1.00	0.82	0.06	0.91	0.90	
50words-0.1	1.00	0.81	0.08	0.99	0.99	
50words-0.30000000000000004	0.99	0.81	0.04	0.69	0.70	
数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-0.4	0.99	0.80	0.03	0.34	0.34	
50words-0.5	0.94	0.78	0.03	0.12	0.13	
50words-0.2	1.00	0.82	0.06	0.91	0.90	
50words-0.8999999999999999	0.41	0.30	0.02	0.03	0.02	
50words-0.7	0.87	0.75	0.02	0.03	0.03	
50words-0.7999999999999999	0.58	0.66	0.02	0.03	0.03	
50words-0.1	1.00	0.81	0.08	0.99	0.99	
50words-0.6	0.92	0.77	0.02	0.07	0.07	
50words-0.30000000000000004	0.99	0.81	0.04	0.69	0.70	
