数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.30000000000000004	0.67	0.40	0.20	0.40	0.40	
Beef-0.1	0.70	0.40	0.30	0.40	0.47	
Beef-0.4	0.57	0.37	0.20	0.27	0.27	
Beef-0.2	0.67	0.40	0.20	0.43	0.47	
Beef-0.5	0.63	0.47	0.20	0.20	0.20	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.30000000000000004	1.00	0.43	0.20	0.43	0.43	
Beef-0.1	1.00	0.43	0.30	0.80	0.80	
Beef-0.4	1.00	0.50	0.20	0.20	0.20	
Beef-0.2	1.00	0.43	0.20	0.43	0.43	
Beef-0.5	1.00	0.47	0.20	0.20	0.20	
数据集	DTW	EDR	LCS	ERP	NewGotoh
Beef-0.7	0.93	0.37	0.20	0.20	0.20	
Beef-0.30000000000000004	1.00	0.43	0.20	0.43	0.43	
Beef-0.6	0.97	0.43	0.20	0.20	0.20	
Beef-0.1	1.00	0.43	0.30	0.80	0.80	
Beef-0.7999999999999999	0.70	0.37	0.20	0.20	0.20	
Beef-0.8999999999999999	0.60	0.37	0.20	0.20	0.20	
Beef-0.4	1.00	0.50	0.20	0.20	0.20	
Beef-0.2	1.00	0.43	0.20	0.43	0.43	
Beef-0.5	1.00	0.47	0.20	0.20	0.20	
