数据集	ED	DTW	EDR	LCS	ERP	NewGotoh
Adiac	0.59	0.59	0.34	0.02	0.62	0.63	
Beef	0.67	0.63	0.51	0.37	0.63	0.67	
Herring	0.52	0.52	0.46	0.75	0.56	0.63	
SonyAIBORobotSurface	0.69	0.72	0.61	0.70	0.78	0.73	
OSULeaf	0.53	0.59	0.56	0.40	0.61	0.63	
MoteStrain	0.88	0.83	0.83	0.68	0.84	0.84	
50words	0.58	0.65	0.57	0.44	0.65	0.64	
SonyAIBORobotSurfaceII	0.85	0.82	0.80	0.71	0.81	0.82	
FaceFour	0.78	0.82	0.66	0.65	0.73	0.62	
BirdChicken	0.55	0.74	0.74	0.45	0.74	0.70	
FaceAll	0.73	0.81	0.77	0.32	0.83	0.82	
