数据集	ED	DTW	EDR	LCS	ERP	NewGotoh
Adiac	0.65	0.60	0.37	0.01	0.66	0.66	
Beef	0.69	0.67	0.38	0.26	0.66	0.69	
Herring	0.53	0.52	0.55	0.59	0.56	0.59	
50words	0.59	0.60	0.52	0.28	0.64	0.69	
BirdChicken	0.55	0.77	0.77	0.50	0.77	0.77	
SonyAIBORobotSurface	0.79	0.80	0.77	0.79	0.83	0.83	
OSULeaf	0.57	0.62	0.59	0.41	0.66	0.68	
MoteStrain	0.88	0.83	0.83	0.71	0.85	0.86	
SonyAIBORobotSurfaceII	0.86	0.83	0.80	0.71	0.82	0.84	
FaceFour	0.79	0.84	0.78	0.66	0.80	0.85	
FaceAll	0.76	0.81	0.80	0.42	0.83	0.82	
