数据集	ED	DTW	EDR	LCS	ERP	NewGotoh
Adiac	0.61	0.62	0.07	0.03	0.63	0.64	
Beef	0.67	0.63	0.40	0.30	0.63	0.67	
Herring	0.53	0.52	0.52	0.50	0.56	0.63	
SonyAIBORobotSurface	0.73	0.76	0.68	0.74	0.81	0.77	
OSULeaf	0.54	0.60	0.57	0.40	0.60	0.62	
MoteStrain	0.88	0.83	0.83	0.70	0.84	0.84	
50words	0.50	0.59	0.46	0.26	0.54	0.53	
SonyAIBORobotSurfaceII	0.84	0.81	0.80	0.71	0.81	0.81	
FaceFour	0.80	0.85	0.76	0.65	0.78	0.70	
BirdChicken	0.55	0.75	0.75	0.50	0.75	0.70	
FaceAll	0.80	0.88	0.84	0.34	0.90	0.89	
